enemy_id,empty_001,base_digimon_id,empty_003,empty_004,enemy_param_id,empty_006,flag_007,flag_008,flag_009,level,unknown_011,unknown_float_012,unknown_float_013,name_key,unknown_015,unknown_016,hp,sp,attack,defense,intelligence,spirit,speed,unk_int32_024,unk_int32_025,unk_int32_026,unk_int32_027,unk_int32_028,unk_int32_029,unk_int32_030,empty_031,unk_int32_032,unk_int32_033,unk_int32_034,unk_int32_035,unk_int32_036,unk_int32_037,empty_038,unk_int32_039,unk_int32_040,empty_041,unk_int32_042,unk_int32_043
48501,,485,,,48501,,false,false,true,0,20,-1,0.05,"",0,0,9340,1000,4540,2200,4540,1970,1380,240,60,0,130,0,130,200,,16,6640,10,320,32,0,,0,0,,0,0
48601,,486,,,48601,,false,false,true,0,20,-1,0.05,"",0,0,12990,1000,4150,1960,5330,3880,1635,260,60,0,130,0,150,200,,18,6640,10,320,32,0,,0,0,,0,0
48701,,487,,,48701,,false,false,true,0,20,-1,0.05,"",0,0,16200,1000,5310,3180,3400,1800,1050,290,60,0,150,0,130,160,,15,6640,10,320,32,0,,0,0,,0,0
48801,,488,,,48801,,false,false,true,0,20,-1,0.05,"",0,0,13280,1000,4830,2510,4530,2260,1215,270,60,0,150,0,150,200,,17,6640,10,320,32,0,,0,0,,0,0
77003,,770,,,77003,,false,false,false,0,20,-1,0.05,"",0,0,5218,560,9175,2880,2025,2420,700,300,60,0,150,0,150,160,,12,264,8,160,16,0,,0,0,,0,0
77102,,771,,,77102,,false,false,false,0,20,-1,0.05,"",0,0,15427,600,5360,3005,5105,2940,1420,300,60,0,150,0,150,200,,12,664,10,320,32,0,,0,0,,0,0
83802,,838,,,83802,,false,false,false,0,20,-1,0.05,"",0,0,800,1000,4300,1410,3200,1400,735,80,60,0,150,0,150,200,,12,0,0,0,0,0,,0,0,,0,0
83903,,839,,,83903,,false,true,true,0,20,-1,0.05,"",0,0,99999,1000,5754,9999,4354,9999,735,0,100,0,0,0,0,200,,21,3000,10,320,32,0,,0,0,,0,0
83904,,839,,,83904,,false,true,true,0,20,-1,0.05,"",0,0,19250,1000,5990,3290,4820,3290,1164,300,60,0,150,0,150,200,,12,20000,10,320,32,0,,0,0,,0,0
39002,,390,,,39002,,false,true,false,0,20,-1,0.1,"",0,0,1060,810,2898,1140,3778,1720,1090,80,60,0,150,0,150,160,,0,24,4,40,4,6,,100,0,,0,30
77302,,773,,,77302,,false,true,false,0,20,-1,0.05,"",0,0,2100,1030,4296,1320,4496,1430,1090,130,60,0,150,0,150,200,,0,664,10,320,32,9,,100,0,,0,15
