int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6,bool 7,bool 8,int32 9,int32 10,int32 11,int32 12,empty 13,int32 14,empty 15,int32 16,empty 17,int32 18,empty 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int16 36,int16 37,int32 38,int8 39,int8 40,int8 41,int8 42,int8 43,int8 44,int16 45,int32 46,int32 47,empty 48,int16 49,int16 50,empty 51,int32 52,empty 53,int32 54,empty 55,int32 56,empty 57,int32 58,empty 59,int32 60,int32 61,empty 62,int32 63,int32 64,empty 65,int32 66,empty 67,int32 68,empty 69,int32 70,empty 71,string2 72
21835,,,,21831,0,21831,true,true,30131,3,1,21831,,0,,12007,,0,,0,2,1,90,100,1,0,0,5,3,-1,-1,-1,1,1,1,95,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,106020,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24082,,,,24081,0,24081,true,true,30311,3,1,24081,,0,,12002,,0,,0,2,1,15,100,1,0,0,0,7,-1,-1,-1,5,3,3,210,5,0,0,100,1,10,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
24493,,,,24491,0,24493,true,true,30281,3,1,24491,,0,,12012,,0,,0,2,1,90,100,1,0,0,10,7,-1,-1,-1,1,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,24491,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26891,,,,26891,0,26891,true,true,30131,3,1,26891,,0,,12007,,0,,0,2,1,95,100,1,0,0,5,23,-1,-1,-1,1,1,1,210,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26892,,,,26892,26892,26892,true,false,0,4,1,26892,,0,,0,,0,,0,5,0,0,100,0,0,0,-1,-1,-1,-1,12,6,1,1,70,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,26892,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26901,,,,26901,0,26901,true,true,30221,3,1,26901,,0,,12008,,0,,0,2,1,90,100,1,0,0,6,8,-1,-1,-1,1,1,1,200,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26902,,,,26902,0,26902,true,true,30101,4,1,26902,,0,,12004,,0,,0,2,1,70,100,1,0,0,2,8,-1,-1,-1,5,1,1,320,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26911,,,,26911,0,26911,true,true,30101,3,1,26911,,0,,12011,,0,,0,2,1,100,100,1,0,0,9,8,-1,-1,-1,1,1,1,260,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,1,689,,690,,-1,,-1,,""
26912,,,,26912,0,26912,true,true,30131,4,1,26912,,0,,12007,,0,,0,2,1,100,100,1,0,0,5,24,-1,-1,-1,1,1,1,260,5,0,0,100,1,5,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,1,689,,690,,-1,,-1,,""
26921,,,,26921,0,26921,true,true,30281,3,1,26921,,0,,12012,,0,,0,2,1,95,100,1,0,0,10,20,-1,-1,-1,1,1,1,265,5,0,0,100,1,15,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26922,,,,26922,0,26922,true,true,30281,4,1,26922,,0,,12012,,0,,0,2,2,95,100,1,0,0,10,18,-1,-1,-1,1,1,1,265,5,0,0,100,1,15,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26923,,,,26921,0,26923,true,false,0,3,1,26921,,0,,12012,,0,,0,2,1,150,100,1,0,0,10,20,-1,-1,-1,5,1,1,265,5,0,0,100,1,15,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26931,,,,26931,0,26931,true,true,30101,3,1,26931,,0,,12012,,0,,0,2,1,100,100,1,0,0,10,8,-1,-1,-1,1,1,1,240,5,0,0,90,1,10,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26932,,,,26932,0,26932,true,true,30131,4,1,26932,,0,,12007,,0,,0,2,1,100,100,1,0,0,5,24,-1,-1,-1,1,1,1,240,5,0,0,90,1,10,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
26933,,,,26931,0,26931,true,false,0,3,1,26931,,0,,12012,,0,,0,2,1,160,100,1,0,0,10,8,-1,-1,-1,5,1,1,240,5,0,0,90,1,10,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27443,,,,27443,-1,0,true,false,0,2,1,12001,,0,,32011,,0,,1,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,574401,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27444,,,,27444,-1,0,true,false,0,2,1,12001,,0,,32011,,0,,1,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,574402,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27543,,,,27543,-1,0,true,false,0,2,1,12001,,0,,32011,,0,,1,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,6,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,575401,,208002,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
27544,,,,27544,-1,0,true,false,0,2,1,12001,,0,,32131,,0,,1,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,5,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,575402,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
28471,,,,28471,-1,0,true,false,0,2,1,12001,,0,,32011,,0,,1,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,584701,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
28472,,,,28471,-1,0,true,false,0,2,1,12001,,0,,32011,,0,,1,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,584702,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
28473,,,,28471,-1,0,true,false,0,2,1,12001,,0,,32011,,0,,1,0,0,0,100,0,0,0,-1,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,584703,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
51000,,,,51000,-1,0,true,false,0,16,1,0,,0,,0,,0,,1,0,0,0,100,0,0,0,0,-1,-1,-1,-1,10,1,1,0,0,0,1,100,0,0,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,"battle_skill_idle"
51010,,,,31022,-1,0,true,false,0,2,1,12001,,0,,31022,,0,,1,3,8,25,100,1,0,0,-1,-1,-1,-1,11,6,1,1,0,3,36,1,100,0,0,0,0,0,0,0,,0,0,,0,,0,,0,,0,,0,-1,,0,-1,,-1,,-1,,-1,,""
